"","Blue","CloudMask","CloudMaskConfidence","FieldValue","Green","ImageDate","ImageName","Lake","MaxDepth","Method","NIR","Organization","Red","SWIR1","SWIR2","SampleDepth","SamplingDate","Sensor","StationID","AbsDiffInDays","Dataset"
"514",357,0,1,185.5,549,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",469,"UTAHDWQ",359,7,16,-9999,2010-08-19,"LANDSAT/LE7_SR",4917450,7,"Calibration"
"515",598,0,1,185.5,1007,2010-08-28,"LE70380322010240","Utah",-9999,"Chlorophyll-A (Colorimet)",940,"UTAHDWQ",743,176,161,-9999,2010-08-19,"LANDSAT/LE7_SR",4917450,9,"Calibration"
"516",1016,1,1,19.1,1558,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",475,"UTAHDWQ",1141,37,58,-9999,2010-08-23,"LANDSAT/LT5_SR",4917310,3,"Calibration"
"517",1488,1,1,19.1,1975,2010-08-28,"LE70380322010240","Utah",-9999,"Chlorophyll-A (Colorimet)",954,"UTAHDWQ",1695,191,167,-9999,2010-08-23,"LANDSAT/LE7_SR",4917310,5,"Calibration"
"518",1318,1,1,14.2,1848,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",688,"UTAHDWQ",1522,131,129,-9999,2010-08-23,"LANDSAT/LT5_SR",4917520,3,"Calibration"
"519",1545,1,1,14.2,1977,2010-08-28,"LE70380322010240","Utah",-9999,"Chlorophyll-A (Colorimet)",830,"UTAHDWQ",1750,191,166,-9999,2010-08-23,"LANDSAT/LE7_SR",4917520,5,"Calibration"
"520",540,1,1,140.8,881,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",225,"UTAHDWQ",562,61,96,-9999,2011-08-22,"LANDSAT/LT5_SR",4917310,1,"Calibration"
"522",1094,1,1,140.8,1579,2011-08-31,"LE70380322011243","Utah",-9999,"Chlorophyll-A (Colorimet)",587,"UTAHDWQ",1204,157,167,-9999,2011-08-22,"LANDSAT/LE7_SR",4917310,9,"Calibration"
"523",1135,1,1,23.2,1498,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",301,"UTAHDWQ",1108,13,23,-9999,2011-08-22,"LANDSAT/LT5_SR",4917370,1,"Calibration"
"524",1376,1,1,23.2,1829,2011-08-15,"LE70380322011227","Utah",-9999,"Chlorophyll-A (Colorimet)",460,"UTAHDWQ",1377,53,21,-9999,2011-08-22,"LANDSAT/LE7_SR",4917370,7,"Calibration"
"525",1384,1,1,23.2,1831,2011-08-31,"LE70380322011243","Utah",-9999,"Chlorophyll-A (Colorimet)",543,"UTAHDWQ",1510,119,55,-9999,2011-08-22,"LANDSAT/LE7_SR",4917370,9,"Calibration"
"528",1294,1,1,60.9,1676,2011-08-31,"LE70380322011243","Utah",-9999,"Chlorophyll-A (Colorimet)",373,"UTAHDWQ",1230,80,91,-9999,2011-08-22,"LANDSAT/LE7_SR",4917390,9,"Calibration"
"529",349,1,1,120,644,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",339,"UTAHDWQ",424,63,24,-9999,2011-08-22,"LANDSAT/LT5_SR",4917450,1,"Calibration"
"532",932,1,1,17.1,1195,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",199,"UTAHDWQ",771,41,61,-9999,2011-08-22,"LANDSAT/LT5_SR",4917500,1,"Calibration"
"533",1035,1,1,17.1,1512,2011-08-15,"LE70380322011227","Utah",-9999,"Chlorophyll-A (Colorimet)",539,"UTAHDWQ",966,54,57,-9999,2011-08-22,"LANDSAT/LE7_SR",4917500,7,"Calibration"
"535",691,1,1,51.8,1014,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",327,"UTAHDWQ",642,58,58,-9999,2011-08-22,"LANDSAT/LT5_SR",4917520,1,"Calibration"
"536",1648,1,1,51.8,2049,2011-08-15,"LE70380322011227","Utah",-9999,"Chlorophyll-A (Colorimet)",642,"UTAHDWQ",1748,149,125,-9999,2011-08-22,"LANDSAT/LE7_SR",4917520,7,"Calibration"
"537",1676,1,1,51.8,2055,2011-08-31,"LE70380322011243","Utah",-9999,"Chlorophyll-A (Colorimet)",704,"UTAHDWQ",1877,116,128,-9999,2011-08-22,"LANDSAT/LE7_SR",4917520,9,"Calibration"
"539",529,0,1,146.2,936,2011-08-15,"LE70380322011227","Utah",-9999,"Chlorophyll-A (Colorimet)",693,"UTAHDWQ",551,53,92,-9999,2011-08-22,"LANDSAT/LE7_SR",4917600,7,"Calibration"
"540",683,1,1,146.2,993,2011-08-31,"LE70380322011243","Utah",-9999,"Chlorophyll-A (Colorimet)",596,"UTAHDWQ",742,126,95,-9999,2011-08-22,"LANDSAT/LE7_SR",4917600,9,"Calibration"
"541",970,1,1,22.7,1259,2011-08-23,"LT50380322011235","Utah",-9999,"Chlorophyll-A (Colorimet)",296,"UTAHDWQ",935,60,95,-9999,2011-08-22,"LANDSAT/LT5_SR",4917770,1,"Calibration"
"542",528,1,1,22.7,993,2011-08-15,"LE70380322011227","Utah",-9999,"Chlorophyll-A (Colorimet)",342,"UTAHDWQ",613,34,49,-9999,2011-08-22,"LANDSAT/LE7_SR",4917770,7,"Calibration"
"544",895,1,1,14.5,1192,2011-09-24,"LT50380322011267","Utah",-9999,"Chlorophyll-A (Colorimet)",297,"UTAHDWQ",753,42,26,-9999,2011-09-22,"LANDSAT/LT5_SR",4917310,2,"Calibration"
"546",1188,1,1,14.5,1631,2011-10-02,"LE70380322011275","Utah",-9999,"Chlorophyll-A (Colorimet)",841,"UTAHDWQ",1232,396,286,-9999,2011-09-22,"LANDSAT/LE7_SR",4917310,10,"Calibration"
"548",1486,1,1,37,1872,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",481,"UTAHDWQ",1550,40,54,-9999,2011-09-22,"LANDSAT/LE7_SR",4917370,6,"Calibration"
"549",1468,1,1,37,1976,2011-10-02,"LE70380322011275","Utah",-9999,"Chlorophyll-A (Colorimet)",851,"UTAHDWQ",1581,275,200,-9999,2011-09-22,"LANDSAT/LE7_SR",4917370,10,"Calibration"
"551",983,1,1,77.6,1374,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",384,"UTAHDWQ",1017,38,53,-9999,2011-09-22,"LANDSAT/LE7_SR",4917390,6,"Calibration"
"555",525,1,1,16.3,830,2011-10-02,"LE70380322011275","Utah",-9999,"Chlorophyll-A (Colorimet)",388,"UTAHDWQ",555,93,61,-9999,2011-09-22,"LANDSAT/LE7_SR",4917450,10,"Calibration"
"557",1426,1,1,11.5,1873,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",392,"UTAHDWQ",1396,41,55,-9999,2011-09-22,"LANDSAT/LE7_SR",4917500,6,"Calibration"
"558",1536,1,1,11.5,1949,2011-10-02,"LE70380322011275","Utah",-9999,"Chlorophyll-A (Colorimet)",515,"UTAHDWQ",1649,105,111,-9999,2011-09-22,"LANDSAT/LE7_SR",4917500,10,"Calibration"
"560",1720,1,1,35.2,2111,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",594,"UTAHDWQ",1815,26,48,-9999,2011-09-22,"LANDSAT/LE7_SR",4917520,6,"Calibration"
"562",322,1,1,17,647,2011-09-24,"LT50380322011267","Utah",-9999,"Chlorophyll-A (Colorimet)",341,"UTAHDWQ",366,43,67,-9999,2011-09-22,"LANDSAT/LT5_SR",4917600,2,"Calibration"
"563",540,1,1,17,743,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",212,"UTAHDWQ",497,3,56,-9999,2011-09-22,"LANDSAT/LE7_SR",4917600,6,"Calibration"
"564",949,1,1,17,1268,2011-10-02,"LE70380322011275","Utah",-9999,"Chlorophyll-A (Colorimet)",616,"UTAHDWQ",982,275,200,-9999,2011-09-22,"LANDSAT/LE7_SR",4917600,10,"Calibration"
"565",846,1,1,5.5,1308,2011-09-24,"LT50380322011267","Utah",-9999,"Chlorophyll-A (Colorimet)",333,"UTAHDWQ",914,40,66,-9999,2011-09-22,"LANDSAT/LT5_SR",4917770,2,"Calibration"
"566",1082,1,1,5.5,1445,2011-09-16,"LE70380322011259","Utah",-9999,"Chlorophyll-A (Colorimet)",289,"UTAHDWQ",1143,38,12,-9999,2011-09-22,"LANDSAT/LE7_SR",4917770,6,"Calibration"
"568",940,1,1,61.8,1383,2011-10-10,"LT50380322011283","Utah",-9999,"Chlorophyll-A (Colorimet)",738,"UTAHDWQ",1015,162,117,-9999,2011-10-12,"LANDSAT/LT5_SR",4917310,2,"Calibration"
"570",1501,1,1,61.8,1873,2011-10-18,"LE70380322011291","Utah",-9999,"Chlorophyll-A (Colorimet)",402,"UTAHDWQ",1524,20,26,-9999,2011-10-12,"LANDSAT/LE7_SR",4917310,6,"Calibration"
"582",1614,1,1,127.2,1937,2011-10-18,"LE70380322011291","Utah",-9999,"Chlorophyll-A (Colorimet)",369,"UTAHDWQ",1587,28,77,-9999,2011-10-12,"LANDSAT/LE7_SR",4917500,6,"Calibration"
"583",1418,1,1,26,1652,2011-10-10,"LT50380322011283","Utah",-9999,"Chlorophyll-A (Colorimet)",878,"UTAHDWQ",1425,286,303,-9999,2011-10-12,"LANDSAT/LT5_SR",4917520,2,"Calibration"
"591",1157,1,1,41.2,1589,2011-10-18,"LE70380322011291","Utah",-9999,"Chlorophyll-A (Colorimet)",400,"UTAHDWQ",1237,19,25,-9999,2011-10-12,"LANDSAT/LE7_SR",4917770,6,"Calibration"
"595",420,1,1,31.7,758,2012-05-22,"LE70370322012143","Utah",-9999,"Chlorophyll-A (Colorimet)",286,"UTAHDWQ",516,117,52,-9999,2012-05-31,"LANDSAT/LE7_SR",4917450,9,"Calibration"
"596",383,1,1,31.7,676,2012-05-29,"LE70380322012150","Utah",-9999,"Chlorophyll-A (Colorimet)",240,"UTAHDWQ",439,34,14,-9999,2012-05-31,"LANDSAT/LE7_SR",4917450,2,"Calibration"
"603",1542,1,1,3.3,1891,2012-06-30,"LE70380322012182","Utah",-9999,"Chlorophyll-A (Colorimet)",313,"UTAHDWQ",1342,34,46,-9999,2012-07-02,"LANDSAT/LE7_SR",4917370,2,"Calibration"
"606",1647,1,1,5.8,2023,2012-06-30,"LE70380322012182","Utah",-9999,"Chlorophyll-A (Colorimet)",508,"UTAHDWQ",1516,233,181,-9999,2012-07-02,"LANDSAT/LE7_SR",4917500,2,"Calibration"
"607",1565,1,1,4.2,2011,2012-06-30,"LE70380322012182","Utah",-9999,"Chlorophyll-A (Colorimet)",661,"UTAHDWQ",1586,366,279,-9999,2012-07-02,"LANDSAT/LE7_SR",4917520,2,"Calibration"
"608",1323,1,1,13,1744,2012-06-30,"LE70380322012182","Utah",-9999,"Chlorophyll-A (Colorimet)",556,"UTAHDWQ",1346,206,182,-9999,2012-07-02,"LANDSAT/LE7_SR",4917600,2,"Calibration"
"609",755,1,1,90.5,1180,2012-06-30,"LE70380322012182","Utah",-9999,"Chlorophyll-A (Colorimet)",444,"UTAHDWQ",852,25,10,-9999,2012-07-02,"LANDSAT/LE7_SR",4917770,2,"Calibration"
"610",1102,1,1,46.2,1503,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",494,"UTAHDWQ",1052,135,9,-9999,2012-08-15,"LANDSAT/LE7_SR",4917310,2,"Calibration"
"611",1201,1,1,38.1,1535,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",512,"UTAHDWQ",1184,51,41,-9999,2012-08-15,"LANDSAT/LE7_SR",4917370,2,"Calibration"
"612",1035,1,1,89.7,1365,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",374,"UTAHDWQ",945,48,2,-9999,2012-08-15,"LANDSAT/LE7_SR",4917390,2,"Calibration"
"613",583,1,1,216.4,890,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",678,"UTAHDWQ",588,86,40,-9999,2012-08-15,"LANDSAT/LE7_SR",4917450,2,"Calibration"
"614",1210,1,1,24,1471,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",348,"UTAHDWQ",1013,54,42,-9999,2012-08-15,"LANDSAT/LE7_SR",4917500,2,"Calibration"
"615",1399,1,1,31.5,1757,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",618,"UTAHDWQ",1389,134,83,-9999,2012-08-15,"LANDSAT/LE7_SR",4917520,2,"Calibration"
"616",932,1,1,38.1,1306,2012-08-17,"LE70380322012230","Utah",-9999,"Chlorophyll-A (Colorimet)",817,"UTAHDWQ",985,91,42,-9999,2012-08-15,"LANDSAT/LE7_SR",4917600,2,"Calibration"
"618",774,1,1,44.7,1177,2012-09-02,"LE70380322012246","Utah",-9999,"Chlorophyll-A (Colorimet)",300,"UTAHDWQ",733,10,17,-9999,2012-09-06,"LANDSAT/LE7_SR",4917310,4,"Calibration"
"620",971,1,1,40.4,1399,2012-09-02,"LE70380322012246","Utah",-9999,"Chlorophyll-A (Colorimet)",460,"UTAHDWQ",1069,5,15,-9999,2012-09-06,"LANDSAT/LE7_SR",4917390,4,"Calibration"
"622",1010,1,1,11.9,1432,2012-09-02,"LE70380322012246","Utah",-9999,"Chlorophyll-A (Colorimet)",447,"UTAHDWQ",1026,21,22,-9999,2012-09-06,"LANDSAT/LE7_SR",4917500,4,"Calibration"
"623",748,1,1,14.8,1104,2012-09-02,"LE70380322012246","Utah",-9999,"Chlorophyll-A (Colorimet)",539,"UTAHDWQ",776,2,14,-9999,2012-09-06,"LANDSAT/LE7_SR",4917520,4,"Calibration"
"624",553,1,1,58.1,1079,2012-09-02,"LE70380322012246","Utah",-9999,"Chlorophyll-A (Colorimet)",462,"UTAHDWQ",727,6,54,-9999,2012-09-06,"LANDSAT/LE7_SR",4917600,4,"Calibration"
"634",519,0,1,114.24,764,2013-07-03,"LE70380322013184","Utah",-9989,"Chlorophyll-A (Colorimet), Corrected for pheophytin",676,"UTAHDWQ",509,54,8,-9999,2013-07-02,"LANDSAT/LE7_SR",4917450,1,"Calibration"
"639",1017,1,1,17.44,1417,2013-07-03,"LE70380322013184","Utah",-9984,"Chlorophyll-A (Colorimet), Corrected for pheophytin",829,"UTAHDWQ",1057,354,282,-9999,2013-07-02,"LANDSAT/LE7_SR",4917770,1,"Calibration"
"640",1038,1,1,44.52,1511,2013-09-21,"LE70380322013264","Utah",-9983,"Chlorophyll-A (Colorimet), Corrected for pheophytin",604,"UTAHDWQ",1149,18,22,-9999,2013-09-16,"LANDSAT/LE7_SR",4917310,5,"Calibration"
"642",643,1,1,80.36,1100,2013-09-21,"LE70380322013264","Utah",-9980,"Chlorophyll-A (Colorimet), Corrected for pheophytin",332,"UTAHDWQ",691,14,60,-9999,2013-09-16,"LANDSAT/LE7_SR",4917390,5,"Calibration"
"643",624,0,1,82.28,1104,2013-09-21,"LE70380322013264","Utah",-9979,"Chlorophyll-A (Colorimet), Corrected for pheophytin",1262,"UTAHDWQ",1059,17,62,-9999,2013-09-16,"LANDSAT/LE7_SR",4917450,5,"Calibration"
"644",799,1,1,35.8,1243,2013-09-21,"LE70380322013264","Utah",-9978,"Chlorophyll-A (Colorimet), Corrected for pheophytin",262,"UTAHDWQ",735,22,24,-9999,2013-09-16,"LANDSAT/LE7_SR",4917500,5,"Calibration"
"645",1050,1,1,17.44,1550,2013-09-21,"LE70380322013264","Utah",-9977,"Chlorophyll-A (Colorimet), Corrected for pheophytin",546,"UTAHDWQ",1176,9,17,-9999,2013-09-16,"LANDSAT/LE7_SR",4917520,5,"Calibration"
"646",788,1,1,43.56,1309,2013-09-21,"LE70380322013264","Utah",-9976,"Chlorophyll-A (Colorimet), Corrected for pheophytin",955,"UTAHDWQ",1150,57,62,-9999,2013-09-16,"LANDSAT/LE7_SR",4917600,5,"Calibration"
"647",813,1,1,28.08,1240,2013-09-21,"LE70380322013264","Utah",-9975,"Chlorophyll-A (Colorimet), Corrected for pheophytin",603,"UTAHDWQ",998,96,21,-9999,2013-09-16,"LANDSAT/LE7_SR",4917770,5,"Calibration"
"655",551,1,1,55.7,881,2014-06-04,"LE70380322014155","Utah",-9965,"Chlorophyll-A (Colorimet), Corrected for pheophytin",608,"UTAHDWQ",669,230,210,-9999,2014-06-02,"LANDSAT/LE7_SR",4917450,2,"Calibration"
